name,category,medium,description,protocols,latency,bandwidth,range,reliability,security,complexity,cost,cost_model,recommended_devices,industry_fit,use_case,pros,cons,standards,resource_url
SIP INFO / REFER,web,ethernet_ip,"Send commands to edge devices via SIP signaling messages (INFO, REFER, NOTIFY) over an IP network using existing SIP infrastructure.",SIP; SDP; RTP,<100ms,<1 Kbps per message,N/A (IP-routed),High on QoS-managed networks,"TLS 1.2/1.3, SRTP, mutual authentication",Medium,Low (uses existing SIP trunk),Low (uses existing SIP trunk),"5-5,000 devices",Smart building; Facilities; Hospitality; Retail; SaaS; Contact center; Professional services; Systems integration,"Trigger paging, door open, alarm via PBX extension dialing","Leverages existing VoIP/PBX infrastructure already deployed; Standards-based (RFC 3261, RFC 2976); Low latency on managed networks; Works through SBCs and firewalls with proper SIP ALG",Requires SIP stack on edge device; Network QoS essential for reliability; SIP ALG/firewall traversal can be brittle; Limited data payload per message,RFC 3261; RFC 2976; RFC 3515,https://www.rfc-editor.org/rfc/rfc2976
REST API (HTTP/HTTPS),web,ethernet_ip,Edge device exposes HTTP endpoint; PBX/controller sends POST/GET requests to trigger actions or retrieve status.,HTTP/1.1; HTTP/2; HTTPS; JSON; XML,"<50ms on LAN, 50-200ms on WAN",<0.5 KB per request,N/A (IP-routed),Very High,"TLS 1.3, API keys, OAuth 2.0, mTLS, IP allowlisting",Low,Very Low (standard TCP/IP networking),Very Low (standard TCP/IP networking); platform/broker plus usage,1-256 local I/O points,Smart building; Facilities; Hospitality; Retail; Security; Manufacturing; Maintenance; SaaS; Contact center; Professional services; Systems integration,"Trigger relay, GPIO, read sensor, set parameter on edge device from any HTTP-capable system","Ubiquitous protocol, any modern device supports HTTP; Simple to implement and debug (curl, Postman); Secure with HTTPS + API keys; Language-agnostic: any PBX or automation platform can call REST endpoints",Edge device must be IP-reachable; HTTP overhead for very constrained devices; Stateless; requires polling or webhook pattern for events; Not real-time for <10ms requirements,RFC 7230; RFC 8446,https://developer.mozilla.org/en-US/docs/Web/HTTP
WebSocket (wss://),web,ethernet_ip,"Persistent bidirectional channel between PBX/controller and edge device over WebSocket protocol, enabling real-time command push.",WebSocket; WSS; JSON,<10ms on LAN,~100 bytes per message,N/A (IP-routed),High (persistent connection with auto-reconnect),"WSS (TLS 1.3), origin validation, token auth",Medium,Low,Low,"5-5,000 devices",SMB; Enterprise; IoT,"Real-time push of commands to edge devices, live status monitoring, streaming telemetry","Full-duplex persistent connection; Low latency, suitable for real-time control; Supports binary and text payloads; Widely supported in modern edge computing platforms",Requires persistent TCP connection; Edge device must support WebSocket stack; Proxy/firewall may block WebSocket upgrade; Connection state management complexity at scale,RFC 6455; RFC 7692,https://www.rfc-editor.org/rfc/rfc6455
MQTT (MQTT-SN),web,ethernet_ip,Lightweight publish/subscribe messaging protocol designed for constrained devices and low-bandwidth networks. MQTT-SN extends to non-TCP networks.,MQTT 3.1.1; MQTT 5.0; MQTT-SN,"<50ms on LAN, 100-500ms on WAN",Minimal (2-byte header minimum),N/A (IP-routed),"High (3 QoS levels, persistent session, last will)","TLS 1.2/1.3, username/password, X.509 certs, OAuth",Low,Very Low,Very Low; platform/broker plus usage,1-256 local I/O points,Smart building; Facilities; Hospitality; Retail; Security; Manufacturing; Maintenance,"IoT edge device command/control, sensor telemetry, distributed relay triggering across many devices","Extremely lightweight; designed for IoT/edge; Pub/sub decouples sender and receiver; Three QoS levels (at most once, at least once, exactly once); Last Will & Testament for device failure detection; Very mature ecosystem (AWS IoT, Azure IoT Hub, EMQX, Mosquitto)",Requires MQTT broker (single point of failure without clustering); Not real-time enough for sub-10ms control loops; TCP-based; MQTT-SN adds non-IP support but less mature; Broker discovery and topic governance needed at scale,OASIS MQTT 3.1.1; OASIS MQTT 5.0; ISO/IEC 20922,https://mqtt.org/
WebRTC Data Channel,web,ethernet_ip,"Peer-to-peer data channel between browser/app and edge device, using SCTP over DTLS. Enables low-latency command and control with NAT traversal built-in.",SCTP; DTLS; ICE; STUN; TURN,"<10ms on LAN, 20-100ms on WAN",~1-10 Kbps per channel,N/A (IP-routed),High (configurable: reliable vs unreliable mode),"DTLS 1.3, mandatory encryption, ICE consent freshness",High,Low (no infrastructure needed for P2P),Low (no infrastructure needed for P2P),1-256 local I/O points,Smart building; Facilities; Hospitality; Retail; Venues; Broadcast; Digital signage; SaaS; Contact center; Professional services; Systems integration,"Browser-based control panels for edge devices, peer-to-peer device management without cloud relay","Mandatory encryption (no option for plaintext); Built-in NAT traversal via ICE/STUN/TURN; Low latency, suitable for real-time control; Can operate peer-to-peer without intermediate server",High complexity to implement; TURN server needed for symmetric NAT scenarios; Not all embedded platforms have WebRTC stack; Overkill for simple trigger/command use cases,W3C WebRTC; RFC 8831; RFC 8832,https://www.w3.org/TR/webrtc/
gRPC (HTTP/2),web,ethernet_ip,"High-performance RPC framework using Protocol Buffers over HTTP/2. Supports bidirectional streaming, ideal for structured command/control.",HTTP/2; Protocol Buffers; gRPC; gRPC-Web,<5ms on LAN,~100 bytes per message (binary encoding),N/A (IP-routed),Very High,"TLS 1.3, mTLS, OAuth, JWT",Medium-High,Low,Low; platform/broker plus usage,"100-1,000,000 endpoints/events",SaaS; Contact center; Professional services; Systems integration,"Structured command/control between microservices and edge devices, streaming telemetry, bidirectional RPC","Binary encoding (Protocol Buffers) is efficient; Strong typing with .proto schema; Bidirectional streaming built-in; Excellent performance and tooling (protoc, code generation)",HTTP/2 requirement may not suit very constrained MCUs; gRPC-Web has limitations vs native gRPC; Protocol Buffers schema management overhead; Steeper learning curve than REST,gRPC 1.x; HTTP/2 (RFC 7540); Protocol Buffers,https://grpc.io/docs/
CoAP (Constrained Application Protocol),web,ethernet_ip,"UDP-based REST-like protocol designed for IoT/constrained devices. Supports multicast, discovery, and asynchronous subscriptions.",CoAP; DTLS; UDP,<10ms on LAN,Minimal (4-byte header),N/A (IP-routed),"Medium (CON/NON messages, retransmission)","DTLS 1.2/1.3, OSCORE, RawPublicKey",Low-Medium,Very Low,Very Low,"5-5,000 devices",SMB; Enterprise; IoT,"Constrained edge devices (MCU, 8-bit) that need simple REST-like command/control over UDP","UDP-based, no TCP overhead; Very small header (4 bytes); Built-in resource discovery; Observations (pub/sub over UDP)",UDP may be blocked in some networks; Less mature ecosystem than MQTT; Reliability is best-effort without CON mode; Not suitable for large payloads,RFC 7252; RFC 7641; RFC 8613,https://www.rfc-editor.org/rfc/rfc7252
GraphQL API / Subscriptions,web,ethernet_ip,"Expose device command and state as a typed GraphQL schema, with subscriptions for event streams.",GraphQL; HTTP/2; WebSocket; JSON,<50ms on LAN,Request dependent,N/A (IP-routed),High,"TLS 1.3, OAuth 2.0, mTLS, field-level authorization",Medium-High,Low-Medium,Low-Medium; platform/broker plus usage,"100-1,000,000 endpoints/events",SaaS; Contact center; Professional services; Systems integration,"Unified API facade for mixed PBX, CRM, alarm, and edge-device control surfaces",Strong schema contracts for frontend and backend teams; Subscriptions support live state updates; Good aggregation layer when multiple device APIs differ,Adds an API gateway layer; Resolver authorization must be designed carefully; Less suitable for tiny microcontrollers than REST or CoAP,GraphQL Specification; RFC 8446,https://graphql.org/
Webhook Callback,web,ethernet_ip,"PBX, UCaaS, or monitoring system posts signed event callbacks to an integration service that commands edge devices.",HTTPS; JSON; HMAC; JWT,50-500ms typical,<2 KB per event,N/A (IP-routed),High with retry queues,"TLS 1.3, HMAC signatures, replay protection, IP allowlisting",Low-Medium,Very Low,Very Low; platform/broker plus usage,"100-1,000,000 endpoints/events",SaaS; Contact center; Professional services; Systems integration,"Cloud PBX call event triggers, alarm notification fanout, CRM-to-device workflows",Simple cloud integration pattern; No polling when source system supports events; Works well with serverless queues and audit logs,Receiver must be internet reachable; Retries can duplicate actions unless idempotency is implemented; Vendor webhook schemas vary,HTTP; JSON Web Signature patterns; RFC 8446,https://github.com/standard-webhooks/standard-webhooks
AMQP / RabbitMQ,web,ethernet_ip,"Use a durable message broker for queued commands, acknowledgements, and dead-letter handling.",AMQP 0-9-1; AMQP 1.0; TLS,<10ms on LAN,Small binary or JSON messages,N/A (IP-routed),Very High with durable queues,"TLS, SASL, vhost permissions, mTLS",Medium,Low-Medium,Low-Medium; platform/broker plus usage,"10-1,000 building devices",SMB; Enterprise; IoT,Reliable command dispatch where every action must be auditable and retried,Durable queues and acknowledgements; Dead-letter queues expose failed device commands; Mature operations model,Broker infrastructure required; Not ideal for battery-powered devices; Queue design affects ordering and fanout,AMQP 0-9-1; AMQP 1.0,https://www.rabbitmq.com/tutorials/amqp-concepts
