continent,country_code,name,vendor,lifecycle_assigned,lifecycle_original,eol_status,eol_year,generation,tags,description,pros,cons,typical_customers,resource_url,discovery_query,recommended_terminals,cost_band,industry_fit,transport_schema_version,label_dictionary_version,primary_bearer,bearer_family,link_mode,network_type,bearers,control_interfaces,api_capable,hybrid,transport_confidence,transport_classification_source,transport_label_en,transport_label_zh,capability_labels_en,capability_labels_zh
asia_pacific,tw,EVOX Cloud PBX,EVOX,cutting_edge,cutting_edge,,,cloud,"cloud, ucaas, api",Cloud-native UCaaS targeting TW SMB with Teams/Salesforce integration,Local support; Chinese UI; Teams API integration; easy setup,Internet dependency; monthly subscription cost; limited analog support,SME 10-500 seats,https://www.evoxglobal.com/,,"100-100,000+ API endpoints/devices",Usage-based: per minute/API event,Contact center; Retail; Financial services; Professional services; Distributed offices,2,2,cloud_or_platform,cloud_or_platform,unknown,ip,"[""cloud_or_platform""]","[""api""]",true,false,derived,tag_rule,Cloud platform (bearer unspecified),雲端平台（承載未指定）,"[""API management""]","[""API 管理""]"
asia_pacific,tw,RingCentral MVP Taiwan,RingCentral,cutting_edge,cutting_edge,,,cloud,"cloud, ucaas, api, webrtc",Global UCaaS platform with local PSTN breakout in TW,Global presence; robust API library; analytics dashboard,Higher price point; English-first UI; local support tier varies,Enterprise 100+ seats,https://www.ringcentral.com/office/features/business-phone-system/overview.html,,"100-100,000+ API endpoints/devices",Usage-based: per minute/API event,Professional services; Distributed offices,2,2,ethernet,ethernet,wired,ip,"[""ethernet""]","[""api""]",true,false,derived,tag_rule,Ethernet / IP (wired),乙太網路 / IP（有線）,"[""API management""]","[""API 管理""]"
asia_pacific,tw,Asterisk IP-PBX,Open Source / Digium,mature_active,mature_active,,,ip_pbx,"ip_pbx, sip, open_source, linux",Most widely deployed open-source PBX platform globally,Free; huge community; infinite customization; any hardware,Requires Linux admin; no official support; DIY security patching,"Tech-savvy SMB, SI VARs",https://www.asterisk.org/,,5-500 seats,Low license cost; medium engineering/ops cost,SMB; Enterprise; Systems integrators,2,2,ethernet,ethernet,wired,ip,"[""ethernet""]","[""sip""]",false,false,derived,tag_rule,Ethernet / IP (wired),乙太網路 / IP（有線）,"[""SIP""]","[""SIP""]"
asia_pacific,tw,3CX IP-PBX,3CX,mature_active,mature_active,,,ip_pbx,"ip_pbx, sip, windows, linux, web_management",Windows/Linux software PBX with web management,User-friendly web console; mobile/desktop softphone included; low TCO,Annual license cost; limited analog FXO/FXS without gateway,SME 5-500 seats,https://www.3cx.com/,,5-500 seats,Medium: monthly per-seat subscription,SMB; Enterprise; Systems integrators,2,2,ethernet,ethernet,wired,ip,"[""ethernet""]","[""sip""]",false,false,derived,tag_rule,Ethernet / IP (wired),乙太網路 / IP（有線）,"[""SIP""]","[""SIP""]"
asia_pacific,tw,Cisco Unified Communications Manager,Cisco,mature_active,mature_active,,,ip_pbx,"ip_pbx, sip, enterprise, h323",Enterprise-grade IP-PBX with full UC suite,Enterprise reliability; extensive feature set; global support,High TCO; complex licensing; requires certified admins,"Enterprise, government, education",https://www.webex.com/suite/cloud-calling.html,,"500-50,000 seats/devices",Medium-High: per seat plus add-ons,Government; Education; Professional services; Distributed offices,2,2,ethernet,ethernet,wired,ip,"[""ethernet""]","[""sip""]",false,false,derived,tag_rule,Ethernet / IP (wired),乙太網路 / IP（有線）,"[""SIP""]","[""SIP""]"
asia_pacific,tw,中華電信雲端總機,Chunghwa Telecom,cutting_edge,most_used_current,,,cloud,"cloud, hosted, sip",Taiwan's largest telco cloud PBX offering,Local #1 telco; island-wide QoS; bundling with fiber,Proprietary features; limited API; long contract,TW SME with CHT fiber,https://www.cht.com.tw/home/cht/business,,"10-2,000 seats",Medium: monthly per-seat subscription,Professional services; Distributed offices,2,2,ethernet,ethernet,wired,ip,"[""ethernet""]","[""sip""]",false,false,derived,tag_rule,Ethernet / IP (wired),乙太網路 / IP（有線）,"[""SIP""]","[""SIP""]"
asia_pacific,tw,Panasonic KX-NS系列,Panasonic,most_used_current,most_used_current,,,ip_pbx,"ip_pbx, hybrid, fxs, fxo","Hybrid IP-PBX, widely installed across TW SMB",Analog phone support; reliable hardware; local SI network,EOL announced 2021; no more firmware; parts via secondary market,TW SMB with legacy analog phones,https://connect.panasonic.com/,,8-300 legacy extensions,Medium: monthly per-seat subscription,SMB retrofit; Retail branches; Legacy facilities,2,2,hybrid,hybrid,hybrid,mixed,"[""analog_tdm"",""ethernet""]",[],false,true,derived,tag_rule,Hybrid transport,混合承載,[],[]
asia_pacific,tw,NEC SV9100,NEC,most_used_current,most_used_current,,,ip_pbx,"ip_pbx, hybrid, sip, fxs",Hybrid IP communication server (successor to SV7000),NEC brand trust; hybrid analog/IP; UC apps available,Complex programming; proprietary handsets; NCC license cost,"TW enterprise, hospitality",https://www.nec.com/en/global/solutions/enterprise-communication/,,"500-50,000 seats/devices",Medium: monthly per-seat subscription,Healthcare; Hospitality; Professional services; Distributed offices; SMB retrofit; Retail branches; Legacy facilities,2,2,hybrid,hybrid,hybrid,mixed,"[""analog_tdm"",""ethernet""]","[""sip""]",false,true,derived,tag_rule,Hybrid transport,混合承載,"[""SIP""]","[""SIP""]"
asia_pacific,tw,Panasonic KX-TDA/TDE,Panasonic,most_used_eol,most_used_eol,EOL,,tdm,"tdm, hybrid, fxs, fxo, analog","Legacy TDM hybrid PBX, EOL 2021, EOS 2024",Rock-solid analog voice; huge install base; cheap二手,EOL/EOS; no security patches; no VoIP integration; no UC,"TW SMB, retail shops, clinics",https://connect.panasonic.com/,,8-300 legacy extensions,Low capex sunk cost; high maintenance/migration risk,Healthcare; SMB retrofit; Retail branches; Legacy facilities,2,2,analog_tdm,analog_tdm,wired,analog,"[""analog_tdm""]",[],false,false,derived,tag_rule,Analog / TDM (wired),類比 / TDM（有線）,[],[]
asia_pacific,tw,Toshiba Strata CIX,Toshiba,most_used_eol,most_used_eol,EOL,,tdm,"tdm, digital, fxs, fxo, analog","Legacy digital PBX, Toshiba exited telephony 2014",Was reliable its era; simple programming,Fully discontinued; no parts; no support; security risk,"TW older office buildings, schools",https://business.toshiba.com/,,8-300 legacy extensions,Low capex sunk cost; high maintenance/migration risk,SMB retrofit; Retail branches; Legacy facilities,2,2,analog_tdm,analog_tdm,wired,analog,"[""analog_tdm""]",[],false,false,derived,tag_rule,Analog / TDM (wired),類比 / TDM（有線）,[],[]
